prefecture level,
宗谷地方,011000
上川・留萌地方,012000
石狩・空知・後志地方,016000
網走・北見・紋別地方,013000
釧路・根室地方,014100
胆振・日高地方,015000
渡島・檜山地方,017000
津軽,020000
秋田県,050000
内陸,030000
東部,040000
山形県,060000
中通り・浜通り,070000
茨城県,080000
栃木県,090000
群馬県,100000
埼玉県,110000
東京地方,130000
千葉県,120000
神奈川県,140000
長野県,200000
山梨県,190000
静岡県,220000
愛知県,230000
岐阜県,210000
三重県,240000
新潟県,150000
富山県,160000
石川県,170000
福井県,180000
滋賀県,250000
京都府,260000
大阪府,270000
兵庫県,280000
奈良県,290000
和歌山県,300000
岡山県,330000
広島県,340000
島根県,320000
鳥取県,310000
徳島県,360000
香川県,370000
愛媛県,380000
高知県,390000
山口県,350000
福岡県,400000
大分県,440000
長崎県,420000
佐賀県,410000
熊本県,430000
宮崎県,450000
鹿児島県（奄美地方除く）,460100
沖縄本島地方,471000
大東島地方,472000
宮古島地方,473000
八重山地方,474000
,
local level,
宗谷地方,
宗谷地方,011000
上川・留萌地方,
上川地方,012010
留萌地方,012020
石狩・空知・後志地方,
石狩地方,016010
空知地方,016020
後志地方,016030
網走・北見・紋別地方,
網走地方,013010
北見地方,013020
紋別地方,013030
釧路・根室地方,
釧路地方,014020
根室地方,014010
十勝地方,014030
胆振・日高地方,
胆振地方,015010
日高地方,015020
渡島・檜山地方,
渡島地方,017010
檜山地方,017020
津軽,
津軽,020010
下北,020020
三八上北,020030
秋田県,
沿岸,050010
内陸,050020
内陸,
内陸,030010
沿岸北部,030020
沿岸南部,030030
東部,
東部,040010
西部,040020
山形県,
村山,060010
置賜,060020
庄内,060030
最上,060040
中通り・浜通り,
中通り,070010
浜通り,070020
会津,070030
茨城県,
北部,080010
南部,080020
栃木県,
南部,090010
北部,090020
群馬県,
南部,100010
北部,100020
埼玉県,
北部,110020
南部,110010
秩父地方,110030
東京地方,
東京地方,130010
伊豆諸島北部,130020
伊豆諸島南部,130030
小笠原諸島,130040
千葉県,
北西部,120010
北東部,120020
南部,120030
神奈川県,
東部,140010
西部,140020
長野県,
北部,200010
中部,200020
南部,200030
山梨県,
中・西部,190010
東部・富士五湖,190020
静岡県,
中部,220010
西部,220040
東部,220030
伊豆,220020
愛知県,
西部,230010
東部,230020
岐阜県,
美濃地方,210010
飛騨地方,210020
三重県,
北中部,240010
南部,240020
新潟県,
下越,150010
中越,150020
上越,150030
佐渡,150040
富山県,
東部,160010
西部,160020
石川県,
加賀,170010
能登,170020
福井県,
嶺北,180010
嶺南,180020
滋賀県,
南部,250010
北部,250020
京都府,
南部,260010
北部,260020
大阪府,
大阪府,270000
兵庫県,
南部,280010
北部,280020
奈良県,
北部,290010
南部,290020
和歌山県,
北部,300010
南部,300020
岡山県,
南部,330010
北部,330020
広島県,
南部,340010
北部,340020
島根県,
東部,320010
西部,320020
隠岐,320030
鳥取県,
東部,310010
中・西部,310020
徳島県,
北部,360010
南部,360020
香川県,
香川県,370000
愛媛県,
中予,380010
東予,380020
南予,380030
高知県,
中部,390010
東部,390020
西部,390030
山口県,
西部,350010
中部,350020
東部,350030
北部,350040
福岡県,
福岡地方,400010
北九州地方,400020
筑豊地方,400030
筑後地方,400040
大分県,
中部,440010
北部,440020
西部,440030
南部,440040
長崎県,
南部,420010
北部,420020
壱岐・対馬,420030
五島,420040
佐賀県,
南部,410010
北部,410020
熊本県,
熊本地方,430010
阿蘇地方,430020
天草・芦北地方,430030
球磨地方,430040
宮崎県,
南部平野部,450010
北部平野部,450020
南部山沿い,450030
北部山沿い,450040
鹿児島県（奄美地方除く）,
薩摩地方,460010
大隅地方,460020
種子島・屋久島地方,460030
奄美地方,460040
沖縄本島地方,
本島中南部,471010
本島北部,471020
久米島,471030
大東島地方,
大東島地方,472000
宮古島地方,
宮古島地方,473000
八重山地方,
石垣島地方,474010
与那国島地方,474020
,
municipality level,
宗谷地方,
稚内,11016
上川・留萌地方,
旭川,12442
留萌,13277
石狩・空知・後志地方,
札幌,14163
岩見沢,15356
倶知安,16217
網走・北見・紋別地方,
網走,17341
北見,17521
紋別,17112
釧路・根室地方,
釧路,19432
根室,18273
帯広,20432
胆振・日高地方,
室蘭,21323
浦河,22327
渡島・檜山地方,
函館,23232
江差,24217
津軽,
青森,31312
八戸,31602
むつ,31111
深浦,31436
弘前,31461
秋田県,
秋田,32402
鷹巣,32126
横手,32596
内陸,
盛岡,33431
宮古,33472
大船渡,33877
二戸,33071
一関,33911
東部,
仙台,34392
石巻,34292
古川,34216
白石,34461
山形県,
山形,35426
酒田,35052
新庄,35162
米沢,35552
中通り・浜通り,
福島,36127
小名浜,36846
若松,36361
白河,36667
郡山,36476
相馬,36151
田島,36641
茨城県,
水戸,40201
土浦,40341
栃木県,
宇都宮,41277
大田原,41141
群馬県,
前橋,42251
みなかみ,42091
埼玉県,
熊谷,43056
さいたま,43241
秩父,43156
東京地方,
東京,44132
大島,44172
八丈島,44263
父島,44301
千葉県,
千葉,45212
銚子,45147
館山,45401
神奈川県,
横浜,46106
小田原,46166
長野県,
長野,48156
松本,48361
諏訪,48491
飯田,48767
軽井沢,48331
山梨県,
甲府,49142
河口湖,49251
静岡県,
静岡,50331
浜松,50456
御前崎,50551
三島,50206
網代,50281
石廊崎,50561
愛知県,
名古屋,51106
豊橋,51331
岐阜県,
岐阜,52586
高山,52146
三重県,
津,53133
尾鷲,53378
四日市,53061
上野,53112
新潟県,
新潟,54232
長岡,54501
高田,54651
相川,54157
湯沢,54841
津川,54421
富山県,
富山,55102
伏木,55091
石川県,
金沢,56227
輪島,56052
福井県,
福井,57066
敦賀,57248
大野,57121
滋賀県,
大津,60216
彦根,60131
京都府,
京都,61286
舞鶴,61111
大阪府,
大阪,62078
兵庫県,
神戸,63518
豊岡,63051
洲本,63571
姫路,63383
奈良県,
奈良,64036
風屋,64227
和歌山県,
和歌山,65042
潮岬,65356
岡山県,
岡山,66408
津山,66186
広島県,
広島,67437
呉,67511
福山,67401
庄原,67116
島根県,
松江,68132
浜田,68376
西郷,68022
鳥取県,
鳥取,69122
米子,69076
徳島県,
徳島,71106
池田,71066
日和佐,71266
香川県,
高松,72086
愛媛県,
松山,73166
新居浜,73141
宇和島,73442
高知県,
高知,74181
室戸岬,74372
清水,74516
山口県,
下関,81428
山口,81286
柳井,81481
萩,81071
福岡県,
福岡,82182
八幡,82056
飯塚,82136
久留米,82306
大分県,
大分,83216
日田,83137
中津,83051
佐伯,83401
長崎県,
長崎,84496
佐世保,84266
厳原,84072
福江,84536
佐賀県,
佐賀,85142
伊万里,85116
熊本県,
熊本,86141
阿蘇乙姫,86111
牛深,86491
人吉,86467
宮崎県,
宮崎,87376
延岡,87141
都城,87426
油津,87492
高千穂,87041
鹿児島県（奄美地方除く）,
鹿児島,88317
阿久根,88061
枕崎,88466
鹿屋,88442
種子島,88612
名瀬,88836
沖永良部,88971
沖縄本島地方,
那覇,91197
名護,91107
久米島,91146
大東島地方,
南大東,92011
宮古島地方,
宮古島,93041
八重山地方,
石垣島,94081
与那国島,94017
